Index	X	Sigmoid	Recon	Hex
4981	4.865050	0.992348	0.992348	0x00FE0A8
4982	4.866026	0.992355	0.992355	0x00FE0B0
4983	4.867003	0.992362	0.992362	0x00FE0B7
4984	4.867980	0.992370	0.992370	0x00FE0BF
4985	4.868957	0.992377	0.992377	0x00FE0C7
4986	4.869933	0.992385	0.992385	0x00FE0CF
4987	4.870910	0.992392	0.992392	0x00FE0D6
4988	4.871887	0.992399	0.992399	0x00FE0DE
4989	4.872863	0.992407	0.992407	0x00FE0E6
4990	4.873840	0.992414	0.992414	0x00FE0EE
4991	4.874817	0.992421	0.992421	0x00FE0F5
4992	4.875794	0.992429	0.992429	0x00FE0FD
4993	4.876770	0.992436	0.992436	0x00FE105
4994	4.877747	0.992443	0.992443	0x00FE10C
4995	4.878724	0.992451	0.992451	0x00FE114
4996	4.879700	0.992458	0.992458	0x00FE11C
4997	4.880677	0.992465	0.992465	0x00FE123
4998	4.881654	0.992473	0.992473	0x00FE12B
4999	4.882631	0.992480	0.992480	0x00FE133
5000	4.883607	0.992487	0.992487	0x00FE13A
5001	4.884584	0.992494	0.992495	0x00FE142
5002	4.885561	0.992502	0.992502	0x00FE14A
5003	4.886538	0.992509	0.992509	0x00FE151
5004	4.887514	0.992516	0.992517	0x00FE159
5005	4.888491	0.992524	0.992523	0x00FE160
5006	4.889468	0.992531	0.992531	0x00FE168
5007	4.890444	0.992538	0.992538	0x00FE170
5008	4.891421	0.992545	0.992545	0x00FE177
5009	4.892398	0.992552	0.992553	0x00FE17F
5010	4.893375	0.992560	0.992559	0x00FE186
5011	4.894351	0.992567	0.992567	0x00FE18E
5012	4.895328	0.992574	0.992574	0x00FE195
5013	4.896305	0.992581	0.992581	0x00FE19D
5014	4.897281	0.992588	0.992588	0x00FE1A4
5015	4.898258	0.992596	0.992596	0x00FE1AC
5016	4.899235	0.992603	0.992603	0x00FE1B4
5017	4.900212	0.992610	0.992610	0x00FE1BB
5018	4.901188	0.992617	0.992618	0x00FE1C3
5019	4.902165	0.992624	0.992624	0x00FE1CA
5020	4.903142	0.992631	0.992632	0x00FE1D2
5021	4.904119	0.992639	0.992639	0x00FE1D9
5022	4.905095	0.992646	0.992646	0x00FE1E1
5023	4.906072	0.992653	0.992653	0x00FE1E8
